time,ndvi,evi,red,nir,blue,mir
2011-09-07,0.304832382249237,0.235942808147928,0.188746916166962,0.37115256521919,0.0456003893928333,0.347741595896125
2011-09-15,0.262220155511776,0.185963440432353,0.18509688811402,0.321969286717214,0.0703491543328467,0.322461081356647
2011-09-23,0.229176359757153,0.144728937545213,0.179685890223091,0.277270780101404,0.0917618372895079,0.29704604288203
2011-10-01,0.218317332700881,0.124074505270618,0.17040038398442,0.243449406913583,0.105693143192197,0.271388348790104
2011-10-09,0.241466635333016,0.13543910412625,0.155510670714497,0.227055474504281,0.108562636319289,0.245467109520841
2011-10-17,0.303606583428257,0.184309190422582,0.134798894999545,0.23196241657766,0.099443083635596,0.219460084123994
2011-10-25,0.399845430022874,0.267367480009558,0.110067391653704,0.257856081575394,0.0809500157629748,0.193855321813577
2011-11-02,0.518717427920545,0.375275852520528,0.0843323058128883,0.30139333460896,0.0577933302366904,0.169396498894363
2011-11-10,0.641285102069468,0.491390855158999,0.0615993729710193,0.35509209702725,0.0362513561799741,0.147290198166565
2011-11-18,0.74578989671651,0.596084159955659,0.0460687799273802,0.409571552063922,0.0228411342474211,0.128982763466605
2011-11-26,0.813806182088246,0.671671624778104,0.0404888875529874,0.455357348275431,0.0214428853125052,0.116035644082682
2011-12-04,0.831950733432832,0.70402471025985,0.0459146538469962,0.483747249317366,0.0329803534160618,0.109968392794899
2011-12-12,0.796008743526984,0.686671491873184,0.0613502285976543,0.48920997838398,0.055275963784582,0.111646769770528
2011-12-20,0.716522248486296,0.625992729250649,0.0829536603003638,0.472070401113832,0.0822662415399324,0.120544778420752
2011-12-28,0.610930250827215,0.534667456184793,0.105788360998288,0.435788904420874,0.106659483464734,0.135297041294169
2012-01-05,0.498175568359829,0.427689260969247,0.125317977827651,0.385715898575516,0.122466168142202,0.153859751308961
2012-01-13,0.396619358221633,0.321995850626968,0.138673116998583,0.33005452075448,0.127592239137199,0.173098672030727
2012-01-21,0.321600829932089,0.233797660900921,0.14464624282658,0.278137857692547,0.123233417845126,0.189449073612399
2012-01-29,0.286554019058574,0.178116926592006,0.142576338128908,0.23907907623272,0.111397246586007,0.199485577820268
2012-02-06,0.29792195271296,0.164600080611244,0.133122848619454,0.219903080859527,0.0953061291260752,0.200881386071894
2012-02-14,0.352390238207708,0.194175823532871,0.118185019297465,0.223325780840272,0.0783274739284629,0.193341379736538
2012-02-22,0.437352690358697,0.257741437802531,0.100115475499101,0.246048650084237,0.0621478868216184,0.179058459038559
2012-03-01,0.538078215457818,0.343735461986612,0.0813077851546231,0.283219406139675,0.0479160315224821,0.160839228997872
2012-03-09,0.63996195710837,0.440616213847781,0.0641186297763935,0.329949151599174,0.0367373978768605,0.141471329186221
2012-03-17,0.73028261253467,0.537251072997304,0.0503867394997539,0.380919983853537,0.0291455083541304,0.123442300057052
2012-03-25,0.800517066856141,0.623984542784709,0.0409771065817518,0.430459723290599,0.02482820493905,0.108472526654016
2012-04-02,0.848722543066621,0.694194870573984,0.0354429815372212,0.473103287615693,0.0226511409627054,0.0969821259903687
2012-04-10,0.876888059814572,0.743903058266796,0.0327339970425566,0.504369237330819,0.0213718061918179,0.0886093728553592
2012-04-18,0.889663657860157,0.773039156114712,0.0317714042845953,0.522602410928373,0.0204065660764027,0.0825632015134253
2012-04-26,0.892242481437793,0.78311527458464,0.031595135784692,0.527513095133785,0.0195246385638152,0.0780197869040042
2012-05-04,0.888299505941286,0.775927520974593,0.0316364835242604,0.519709547570292,0.0187400762000342,0.074599269700185
2012-05-12,0.87990543710575,0.753338476133182,0.0316885029503227,0.500493503231911,0.0182064938674164,0.0723735999361471
2012-05-20,0.865985435357282,0.717107575277392,0.0321915906885228,0.47225034805974,0.0181912482678829,0.0722719396483094
2012-05-28,0.843645766338593,0.668927738001443,0.0339503221182342,0.437965933133403,0.0189890318092594,0.0757072910027116
2012-06-05,0.80978444207705,0.610632578698121,0.0378086667662497,0.400767106157288,0.0208250460431448,0.084090166898875
2012-06-13,0.76172653489383,0.54450912760102,0.0445319596281005,0.363877379696796,0.0237581181552291,0.0985558591492635
2012-06-21,0.699786035164553,0.474037522746606,0.0543446361029072,0.330188801508021,0.0275670897599104,0.119062769872217
2012-06-29,0.626554767900143,0.403514586829606,0.0670608083230702,0.302293980063356,0.0318644817553168,0.144704470474586
2012-07-07,0.546336017882379,0.33755730774328,0.08218498811202,0.282370309259898,0.0362623280419108,0.173970968586059
2012-07-15,0.468144158621548,0.281315668925697,0.0983474112306613,0.271173834234423,0.0404445718677104,0.203702625515173
2012-07-23,0.402739717266502,0.239388303125828,0.11378822341725,0.2682929098261,0.0442102483032683,0.230124169167892
2012-07-31,0.357763897227174,0.213966006920226,0.127128436165984,0.272458735164882,0.0474875710152587,0.250512043130239
2012-08-08,0.335241815748734,0.204097632024449,0.13778402359187,0.281877555930185,0.0503044158866598,0.264029714051953
2012-08-16,0.331209106581291,0.206029608997127,0.146078340497005,0.294663613018575,0.0527532436577317,0.271830711044098
2012-08-24,0.337981286647794,0.214553923186827,0.152942032102868,0.30913191798325,0.0549729195002817,0.27629164475425
